,label,tweet
0,anger,soal jln jatibaru polisi tdk bs gertak gubernur emangny polisi tdk ikut pmbhasan jgn politik atur wilayah hak gubernur soal tn abang soal turun turun pelik perlu sabar url
1,anger,sama cewe lho kayak harus lebih rasain lah harus sibuk jaga diri rasain sakit haid panik pulang malem sendiri gimana orang asing wajar banyak korban takut curhat bukan bela malah hujat
2,happy,kepingin gudeg mbarek bu hj amad foto google sengaja biar teman teman jg bayang bagi indah
3,anger,jln jatibaru bagi wilayah tn abang atur wilayah tgg jwb wwnang gub tng abng soal rumit sejak gub trdahulu skrg sedng benah agr bermnfaat semua pihak mohon yg punya otak pikir dgn wajar otak butek kamu url
4,happy,sharing alam aja kemarin jam batalin tiket stasiun pasar senen lancar antri terlalu rame menit beress semua mungkin coba twips jam jam segitu cc
5,anger,sekian banyak thread aku baca thread paling aneh sih tulis sumpah aneh bgt mau ngatain lebay aja segala bikin thread hadeh aku ga jago nulis tulis aku ga beranta thread mbak
6,happy,sharing sama temen tuh emg bgt saat lu ngerasa masalah lu berat bgt nyata temen sendiri punya masalah lebih berat dr malah masalah ngga apa banding masalah
7,sadness,orang kalau pake ponco buat jas hujan nah pake buat kasur tadi gara saking gak punya apa mamak bilang tuh awal pernik gak ngalamin bulan madu kayak skrg org tidur nya aja pake ponco gimane mau bulan madu
8,anger,contoh yg gemar sudut teriak paling toleran tp gemar tuduh gemar men judge orang dasar versi cukup tau
9,sadness,pulang udah lebaran dilema sekali tidak laku apa rumah lebaran buka puasa bareng cuman hari sama keluarga juga sahur
10,anger,betul min rakyat indonesia sekarang harap nya tinggal sama tni kalau lain lihat jelas serang kantor media kata ada unsur pidana sudah jelas hina presiden indonesia sah cuma lucu lucu an url
11,anger,kalaupun fansite ngejual hasil jepret toh uang nya lari idol beliin hadiah kan kpopers baru fansite udh dr jaman kamera bom bening skrg
12,happy,sangat syukur doa kakek bung karno sama anak anak yatim piatu
13,sadness,sulit terima nyata memang ada bagi anggap interaksi satu orng satu golong tentu langsung kata golong tentu saat kita ajar utuh klaim diri kita paling benar
14,anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha satu hati sama sama maling
15,anger,ku ken ngamuk bacain komen netizen yg mahabenar lord ga abis pikir komen macem gin yg bikin kasus leceh seksual tenggelam saja ada hukum laku lebih sedih rerata yg komen jahat perempuan mbaq sehat loh url
16,love,sempat yg pernah hadir tuk buat selalu rasa aman nyaman kini jadi suatu hormat yg pernah dapat
17,anger,sedap kali kau bobok kasur ku aku tidur kau ikut tidur mau jadi apa kau baca pake logat mamak dahlia keluarga badak
18,happy,mau bank rame bgt ampe antri tempat duduk luar toko emas luber ampe ga liat mbak yg jual swalayan antri kasir naudzubilah panjang bener bahagia semua kayak moga moga rs sepi pasien sembuh pulang utk bahagia
19,anger,benar hancur negara kelola amatir tp kenpak indah statementnya sendiri negara miskin koordinasi jangan asal gagah seta salah anulir mana marwahmu wahai mr presiden url
20,anger,budaya cari baca nanya udah jelas kali kok lama ga atur gaada tentu khusus pakai aja
